"GeneName","log2FoldChange","pvalue","padj"
"ART1",1.66693498832331,0.000181921273362409,0.00050377790731092
"ART3",1.56807276476407,3.13407020044824e-05,0.000100656965484129
"ART4",-2.3883268071014,7.83433558672096e-17,1.76938608958594e-15
"ART5",-1.44422314171488,3.58677437066018e-10,2.79209804902948e-09
"ARTN",1.82419487258039,1.48642608285413e-09,1.04467555127117e-08
"ARX",1.10352846297885,0.007483332555211,0.0147095538190704
"ASB16",1.39667325334758,2.09310979209148e-12,2.32334428898695e-11
"ASB4",-1.06601428864493,0.000616728039520283,0.00153590364952628
"ASB5",-2.12294868911077,2.1799285301561e-06,8.74088294316759e-06
"ASCL1",5.46017353967742,2.80373376341082e-17,6.75813694190675e-16
"ASCL2",2.00958989767057,3.14839573796307e-12,3.399694635979e-11
"ASCL4",2.07907084511261,9.19006754300935e-09,5.64358690306885e-08
"ASF1B",1.73099536447807,5.56530024998542e-12,5.83051919184904e-11
"ASIC2",1.52218021323691,0.000219715808687142,0.000599437240764661
"ASIC3",1.07203835233337,1.28218298557722e-07,6.43598933088101e-07
"ASIC4",1.7358645557993,9.27644950421381e-10,6.75342590582741e-09
"ASIC5",2.43067805417055,0.0015418671533062,0.00351997893147811
"ASPA",-3.20127157945568,3.61131544045954e-31,5.81299368441428e-29
"ASPHD1",1.2636300122457,3.63148764370394e-06,1.40310163353362e-05
"ASPM",2.31956466642125,4.50138248504188e-16,8.9061728042589e-15
"ASPN",1.27566383074037,8.76217532127111e-06,3.11722715962209e-05
"ASPSCR1",1.01948581931418,1.46388647607836e-09,1.02981702691231e-08
"ASTN1",-1.68093021372061,2.28103534079872e-08,1.3109223982793e-07
"ASXL3",-1.18256306902434,1.05980510235478e-05,3.7099038175685e-05
"ASZ1",2.09212945210544,0.0230283113204402,0.0405600653950707
"ATAD2",1.73156271395312,1.07517733085136e-19,3.60174924553629e-18
"ATF3",-2.32897894964976,2.50465959129682e-20,9.09627232831584e-19
"ATG9B",2.32839371425747,1.82361679273283e-21,7.76631779398371e-20
"ATOH8",-3.36445624558836,2.85919880989516e-39,1.59728300573967e-36
"ATP13A4",-1.2184760240729,0.000967827085907459,0.00230854045833559
"ATP13A5",-1.54678412004285,0.000144613128460034,0.000409967427159683
"ATP1A2",-5.11250852809466,4.09170106138609e-42,4.85736062249797e-39
"ATP1A3",1.89426726482881,8.10334076787247e-09,5.02428113588047e-08
"ATP1B2",-1.14456311808519,4.2202067992755e-09,2.74515780635064e-08
"ATP2A1",1.0135029865488,6.79760759332834e-10,5.06328465206582e-09
"ATP2A3",1.63951921584881,2.19837345076595e-13,2.83667835080493e-12
"ATP2C2",1.43059252288673,6.78393002747931e-10,5.05507912679255e-09
"ATP4A",-1.03703068954791,0.00148607491819129,0.0034028338753617
"ATP4B",1.91415193028964,2.15468739328789e-05,7.13869393827144e-05
"ATP6V0B",1.03970473872437,3.0773239926163e-15,5.36737299501873e-14
"ATP8B4",-1.17896874569499,6.68536539654685e-10,4.98358831797531e-09
"AUNIP",1.4244625412116,3.96797300685988e-12,4.23413928608408e-11
"AURKA",2.18811866853574,5.49285883089345e-23,2.94721357723136e-21
"AURKB",2.20232366972475,3.87470952480171e-15,6.67842402124172e-14
"AVPI1",-1.16548198744661,2.14206793985587e-13,2.76966905715605e-12
"AVPR1A",-1.75526547587898,1.42395581581217e-17,3.59662456988516e-16
"AVPR1B",1.55923831069554,0.00599767428532907,0.0120473588595114
"AVPR2",-2.6101971696989,1.17776553517672e-24,8.16440823910462e-23
"AWAT1",1.06762906637682,0.0223429441387311,0.0394627004808498
"AXDND1",1.32378965376662,1.54773288192586e-06,6.36312518599562e-06
"AZU1",1.24036935106265,0.00119826485600158,0.0028012420995374
"B3GALT1",-2.6903497940097,8.61771636533427e-16,1.62224880716709e-14
"B3GALT2",-1.15390428104201,4.94358790709752e-10,3.75744332562666e-09
"B3GAT1",-1.45954186116274,0.000153563205975182,0.000433013588820162
"B4GALNT1",1.10755480873403,7.12034138810846e-07,3.11981001904803e-06
"B4GALNT3",1.25104616322834,1.26880350747148e-06,5.30012179918922e-06
"B4GALNT4",1.74417411061417,8.5677938455789e-11,7.43769087307704e-10
"B4GALT6",-1.09726286900172,2.18310371709541e-10,1.7675137255972e-09
"BACH2",-1.14273432543395,1.61396728937873e-08,9.51154039542649e-08
"BAIAP2L2",1.0396214654422,5.42374069123147e-06,2.02036734044421e-05
"BAIAP3",1.07249897862478,3.54902398645307e-05,0.000112688334334152
